Error norm,Size,Duration
8.7239255991785957e+141,,
1.7438751493718435e+142,,
3.4859348484740882e+142,,
6.9682476803372519e+142,,
1.3929268890185571e+143,,
2.7844119531917811e+143,,
5.5659471036404212e+143,,
1.1126154101711502e+144,,
2.2240854580448705e+144,,
4.4458854216250951e+144,,
8.8872101283256639e+144,,
1.7765318977846817e+145,,
3.5512474853162669e+145,,
7.0988700602327889e+145,,
1.4190505333147809e+146,,
2.8366570331292787e+146,,
5.6704316700851484e+146,,
1.1335109510187093e+147,,
2.2658732472498161e+147,,
4.5294532331840947e+147,,
9.0543276669428176e+147,,
1.8099512381161111e+148,,
3.6180766433508428e+148,,
7.2325067685043027e+148,,
1.4457730007517732e+149,,
2.8900910280799845e+149,,
5.7772752124172326e+149,,
1.1548742168637396e+150,,
2.3085877028531653e+150,,
4.6148554297018585e+150,,
9.2250731196222697e+150,,
1.8440873561023558e+151,,
3.6863203900371173e+151,,
7.3689318221725506e+151,,
1.473044352111052e+152,,
2.9446039010623749e+152,,
5.8862359204877908e+152,,
1.176652199724945e+153,,
2.3521128890243593e+153,,
4.7018389813897978e+153,,
9.3988953462808349e+153,,
inf,,
